"","Gene symbol","Gene names","up_regulate","down_regulate","n_literature","up_down","percentage"
"39","ABCC2","ATP-binding cassette, sub-family C (CFTR/MRP), member 2",1,1,2,"down",0.5
"40","ABCC3","ATP-binding cassette, sub-family C (CFTR/MRP), member 3",3,2,5,"up",0.6
"41","ABCC4","ATP-binding cassette, sub-family C (CFTR/MRP), member 4",1,1,2,"down",0.5
"42","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6",1,2,3,"down",0.666666666666667
"43","ABCC6P2","ATP binding cassette subfamily C member 6 pseudogene 2",1,0,1,"up",1
"44","ABCC8","ATP-binding cassette, sub-family C (CFTR/MRP), member 8",0,1,1,"down",1
"45","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1",2,1,3,"up",0.666666666666667
"46","ABCD3","ATP-binding cassette, sub-family D (ALD), member 3",1,1,2,"down",0.5
"47","ABCE1","ATP-binding cassette, sub-family E (OABP), member 1",0,2,2,"down",1
"48","ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1",1,0,1,"up",1
"49","ABCF2","ATP-binding cassette, sub-family F (GCN20), member 2",0,1,1,"down",1
"50","ABCF3","ATP-binding cassette, sub-family F (GCN20), member 3",2,0,2,"up",1
"51","ABCG1","ATP binding cassette subfamily G member 1",1,2,3,"down",0.666666666666667
"52","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",1,0,1,"up",1
"53","ABCG4","ATP binding cassette subfamily G member 4",0,1,1,"down",1
"54","ABHD12B","abhydrolase domain containing 12B",1,0,1,"up",1
"55","ABHD13","abhydrolase domain containing 13",2,0,2,"up",1
"56","ABHD14A","abhydrolase domain containing 14A",1,0,1,"up",1
"57","ABHD14B","abhydrolase domain containing 14b",1,0,1,"up",1
"58","ABHD15","abhydrolase domain containing 15",2,0,2,"up",1
"59","ABHD16A","abhydrolase domain containing 16A",1,1,2,"down",0.5
"60","ABHD17B","abhydrolase domain containing 17B",1,0,1,"up",1
"61","ABHD17C","abhydrolase domain containing 17C",0,2,2,"down",1
"62","ABHD3","abhydrolase domain containing 3",2,1,3,"up",0.666666666666667
"63","ABHD4","abhydrolase domain containing 4",1,0,1,"up",1
"64","ABHD5","abhydrolase domain containing 5",1,1,2,"down",0.5
"65","ABHD6","abhydrolase domain containing 6",1,0,1,"up",1
"66","ABHD8","abhydrolase domain containing 8",2,0,2,"up",1
"67","ABI2","abl-interactor 2",0,2,2,"down",1
"68","ABI3","ABI gene family, member 3",1,0,1,"up",1
"69","ABI3BP","ABI gene family, member 3 (NESH) binding protein",4,2,6,"up",0.666666666666667
"70","ABL1","c-abl oncogene 1, non-receptor tyrosine kinase",1,0,1,"up",1
"71","ABL2","v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",2,0,2,"up",1
"72","ABLIM1","actin-binding LIM protein 1",1,0,1,"up",1
"73","ABLIM2","actin-binding LIM protein 2",2,1,3,"up",0.666666666666667
"74","ABLIM3","actin binding LIM protein family, member 3",1,0,1,"up",1
"75","ABR","active BCR-related gene",2,0,2,"up",1
"76","ABRAXAS1","BRCA1 A complex subunit",0,1,1,"down",1
"77","ABTB1","ankyrin repeat and BTB (POZ) domain containing 1",3,0,3,"up",1
"78","ABTB2","ankyrin repeat and BTB (POZ) domain containing 2",1,1,2,"down",0.5
"79","ACAA1","acetyl-CoA acyltransferase 1",1,0,1,"up",1
"80","ACACA","acetyl-Coenzyme A carboxylase alpha",2,2,4,"down",0.5
"81","ACACB","acetyl-Coenzyme A carboxylase beta",3,4,7,"down",0.571428571428571
"82","ACAD10","acyl-Coenzyme A dehydrogenase family, member 10",1,1,2,"down",0.5
"83","ACAD11","acyl-Coenzyme A dehydrogenase family, member 11",1,0,1,"up",1
"84","ACAD8","acyl-Coenzyme A dehydrogenase family, member 8",1,0,1,"up",1
"85","ACADL","acyl-Coenzyme A dehydrogenase, long-chain",1,1,2,"down",0.5
"86","ACADM","acyl-Coenzyme A dehydrogenase, medium chain",0,3,3,"down",1
"87","ACADS","acyl-Coenzyme A dehydrogenase, short chain",0,2,2,"down",1
"88","ACADSB","acyl-Coenzyme A dehydrogenase, short/branched chain",1,1,2,"down",0.5
"89","ACADVL","acyl-Coenzyme A dehydrogenase, very long chain",3,0,3,"up",1
"90","ACAN","aggrecan",0,3,3,"down",1
"91","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",1,0,1,"up",1
"92","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",0,1,1,"down",1
"93","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1,0,1,"up",1
"94","ACAT1","acetyl-Coenzyme A acetyltransferase 1",0,1,1,"down",1
"95","ACAT2","acetyl-Coenzyme A acetyltransferase 2",2,3,5,"down",0.6
"96","ACBD3","acyl-Coenzyme A binding domain containing 3",2,0,2,"up",1
"97","ACBD3-AS1","ACBD3 antisense RNA 1",0,1,1,"down",1
"98","ACBD5","acyl-Coenzyme A binding domain containing 5",0,1,1,"down",1
"99","ACBD6","acyl-Coenzyme A binding domain containing 6",1,1,2,"down",0.5
"100","ACBD7","acyl-Coenzyme A binding domain containing 7",0,5,5,"down",1
"101","ACCS","1-aminocyclopropane-1-carboxylate synthase (non-functional)",1,0,1,"up",1
"102","ACD","adrenocortical dysplasia",0,1,1,"down",1
"103","ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1",3,0,3,"up",1
"104","ACE2","angiotensin I converting enzyme (peptidyl-dipeptidase A) 2",1,0,1,"up",1
"105","ACER2","alkaline ceramidase 2",3,0,3,"up",1
"106","ACER3","alkaline ceramidase 3",0,2,2,"down",1
"107","ACHE","acetylcholinesterase",1,0,1,"up",1
"108","ACIN1","apoptotic chromatin condensation inducer 1",0,2,2,"down",1
"109","ACKR2","atypical chemokine receptor 2",1,0,1,"up",1
"110","ACLY","ATP citrate lyase",3,2,5,"up",0.6
"111","ACOD1","aconitate decarboxylase 1",0,0,0,"down",NA
"112","ACOT1","acyl-CoA thioesterase 1",1,0,1,"up",1
"113","ACOT11","acyl-CoA thioesterase 11",1,0,1,"up",1
"114","ACOT12","acyl-CoA thioesterase 12",0,1,1,"down",1
"115","ACOT2","acyl-CoA thioesterase 2",1,1,2,"down",0.5
"116","ACOT4","acyl-CoA thioesterase 4",1,0,1,"up",1
"117","ACOT7","acyl-CoA thioesterase 7",3,0,3,"up",1
"118","ACOT8","acyl-CoA thioesterase 8",1,0,1,"up",1
"119","ACOT9","acyl-CoA thioesterase 9",2,1,3,"up",0.666666666666667
"120","ACOX1","acyl-Coenzyme A oxidase 1, palmitoyl",1,0,1,"up",1
"121","ACOX3","acyl-Coenzyme A oxidase 3, pristanoyl",2,1,3,"up",0.666666666666667
"122","ACP1","acid phosphatase 1, soluble",1,2,3,"down",0.666666666666667
"123","ACP2","acid phosphatase 2, lysosomal",1,0,1,"up",1
"124","ACP5","acid phosphatase 5, tartrate resistant",5,0,5,"up",1
"125","ACP6","acid phosphatase 6, lysophosphatidic",1,0,1,"up",1
"126","ACP7","acid phosphatase 7, tartrate resistant",2,0,2,"up",1
"127","ACRV1","acrosomal vesicle protein 1",0,1,1,"down",1
"128","ACSBG1","acyl-CoA synthetase bubblegum family member 1",1,1,2,"down",0.5
"129","ACSF2","acyl-CoA synthetase family member 2",2,0,2,"up",1
"130","ACSL1","acyl-CoA synthetase long-chain family member 1",3,2,5,"up",0.6
"131","ACSL3","acyl-CoA synthetase long-chain family member 3",1,3,4,"down",0.75
"132","ACSL4","acyl-CoA synthetase long-chain family member 4",1,0,1,"up",1
"133","ACSL5","acyl-CoA synthetase long-chain family member 5",2,0,2,"up",1
"134","ACSL6","acyl-CoA synthetase long-chain family member 6",2,0,2,"up",1
"135","ACSM3","acyl-CoA synthetase medium-chain family member 3",2,0,2,"up",1
"136","ACSM4","acyl-CoA synthetase medium-chain family member 4",2,0,2,"up",1
"137","ACSS1","acyl-CoA synthetase short-chain family member 1",1,1,2,"down",0.5
"138","ACSS2","acyl-CoA synthetase short-chain family member 2",0,2,2,"down",1
"139","ACSS3","acyl-CoA synthetase short-chain family member 3",0,2,2,"down",1
"140","ACTA1","actin, alpha 1, skeletal muscle",3,0,3,"up",1
"141","ACTA2","actin, alpha 2, smooth muscle, aorta",5,4,9,"up",0.555555555555556
"142","ACTA2-AS1","ACTA2 antisense RNA 1",1,0,1,"up",1
"143","ACTB","actin, beta",2,2,4,"down",0.5
"144","ACTBL2","actin, beta-like 2",3,0,3,"up",1
"145","ACTC1","actin, alpha, cardiac muscle 1",4,1,5,"up",0.8
"146","ACTG1P25","actin gamma 1 pseudogene 25",0,1,1,"down",1
"147","ACTG1P4","actin gamma 1 pseudogene 4",1,0,1,"up",1
"148","ACTG2","actin, gamma 2, smooth muscle, enteric",1,1,2,"down",0.5
"149","ACTL6A","actin-like 6A",0,3,3,"down",1
"150","ACTN1","actinin, alpha 1",3,2,5,"up",0.6
"151","ACTN4","actinin alpha 4",4,2,6,"up",0.666666666666667
"152","ACTR1B","ARP1 actin-related protein 1B, centractin beta",1,0,1,"up",1
"153","ACTR2","ARP2 actin-related protein 2",1,0,1,"up",1
"154","ACTR3","ARP3 actin-related protein 3",1,1,2,"down",0.5
"155","ACTR3B","ARP3 actin-related protein 3B",0,2,2,"down",1
"156","ACTR5","ARP5 actin-related protein 5",0,2,2,"down",1
"157","ACTRT3","actin related protein T3",1,0,1,"up",1
"158","ACVR1","activin A receptor, type 1",1,0,1,"up",1
"159","ACVR1C","activin A receptor, type IC",1,0,1,"up",1
"160","ACVR2A","activin receptor IIA",1,0,1,"up",1
"161","ACVR2B","activin receptor IIB",1,1,2,"down",0.5
"162","ACY1","aminoacylase 1",0,1,1,"down",1
"163","ACYP1","acylphosphatase 1, erythrocyte (common) type",2,2,4,"down",0.5
"164","ACYP2","acylphosphatase 2, muscle type",2,0,2,"up",1
"165","ADA","adenosine deaminase",0,1,1,"down",1
"166","ADA2","adenosine deaminase 2",0,0,0,"down",NA
"167","ADAM10","a disintegrin and metallopeptidase domain 10",3,2,5,"up",0.6
"168","ADAM11","a disintegrin and metallopeptidase domain 11",1,1,2,"down",0.5
"169","ADAM12","a disintegrin and metallopeptidase domain 12 (meltrin alpha)",1,1,2,"down",0.5
"170","ADAM15","a disintegrin and metallopeptidase domain 15 (metargidin)",1,0,1,"up",1
"171","ADAM17","a disintegrin and metallopeptidase domain 17",3,2,5,"up",0.6
"172","ADAM19","a disintegrin and metallopeptidase domain 19 (meltrin beta)",2,0,2,"up",1
"173","ADAM1A","a disintegrin and metallopeptidase domain 1a",1,0,1,"up",1
"174","ADAM21","a disintegrin and metallopeptidase domain 21",2,0,2,"up",1
"175","ADAM22","a disintegrin and metallopeptidase domain 22",1,1,2,"down",0.5
"176","ADAM23","a disintegrin and metallopeptidase domain 23",1,2,3,"down",0.666666666666667
"177","ADAM28","a disintegrin and metallopeptidase domain 28",1,1,2,"down",0.5
"178","ADAM8","a disintegrin and metallopeptidase domain 8",0,1,1,"down",1
"179","ADAMTS1","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",1,3,4,"down",0.75
"180","ADAMTS10","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10",1,0,1,"up",1
"181","ADAMTS12","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12",1,1,2,"down",0.5
"182","ADAMTS13","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13",2,0,2,"up",1
"183","ADAMTS14","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14",2,0,2,"up",1
"184","ADAMTS15","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15",2,2,4,"down",0.5
"185","ADAMTS16","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16",0,2,2,"down",1
"186","ADAMTS17","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17",0,1,1,"down",1
"187","ADAMTS18","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18",1,0,1,"up",1
"188","ADAMTS2","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2",1,2,3,"down",0.666666666666667
"189","ADAMTS3","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3",2,2,4,"down",0.5
"190","ADAMTS4","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4",3,0,3,"up",1
"191","ADAMTS5","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)",6,1,7,"up",0.857142857142857
"192","ADAMTS6","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6",1,0,1,"up",1
"193","ADAMTS7","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7",3,0,3,"up",1
"194","ADAMTS8","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8",1,1,2,"down",0.5
"195","ADAMTS9-AS2","ADAMTS9 antisense RNA 2",1,0,1,"up",1
"196","ADAMTSL1","ADAMTS-like 1",1,0,1,"up",1
"197","ADAMTSL2","ADAMTS-like 2",0,1,1,"down",1
"198","ADAMTSL3","ADAMTS-like 3",3,1,4,"up",0.75
"199","ADAMTSL4","ADAMTS-like 4",3,0,3,"up",1
"200","ADAMTSL5","ADAMTS-like 5",1,0,1,"up",1
"201","ADAP1","ArfGAP with dual PH domains 1",2,0,2,"up",1
"202","ADAP2","ArfGAP with dual PH domains 2",2,0,2,"up",1
"203","ADAR","adenosine deaminase, RNA-specific",1,0,1,"up",1
"204","ADAT1","adenosine deaminase, tRNA-specific 1",1,1,2,"down",0.5
"205","ADAT2","adenosine deaminase, tRNA-specific 2",0,1,1,"down",1
"206","ADAT3","adenosine deaminase, tRNA-specific 3",1,1,2,"down",0.5
"207","ADCK2","aarF domain containing kinase 2",2,0,2,"up",1
"208","ADCK5","aarF domain containing kinase 5",1,0,1,"up",1
"209","ADCY1","adenylate cyclase 1",2,2,4,"down",0.5
"210","ADCY10","adenylate cyclase 10",1,0,1,"up",1
"211","ADCY10P1","ADCY10 pseudogene 1",1,1,2,"down",0.5
"212","ADCY2","adenylate cyclase 2",1,0,1,"up",1
"213","ADCY3","adenylate cyclase 3",1,4,5,"down",0.8
"214","ADCY5","adenylate cyclase 5",2,1,3,"up",0.666666666666667
"215","ADCY6","adenylate cyclase 6",4,0,4,"up",1
"216","ADCY7","adenylate cyclase 7",1,0,1,"up",1
"217","ADCY8","adenylate cyclase 8",1,1,2,"down",0.5
"218","ADCYAP1R1","adenylate cyclase activating polypeptide 1 receptor 1",0,1,1,"down",1
"219","ADD1","adducin 1 (alpha)",1,0,1,"up",1
"220","ADD2","adducin 2 (beta)",0,1,1,"down",1
"221","ADGRA1","adhesion G protein-coupled receptor A1",0,0,0,"down",NA
"222","ADGRA2","adhesion G protein-coupled receptor A2",1,1,2,"down",0.5
"223","ADGRB2","adhesion G protein-coupled receptor B2",2,0,2,"up",1
"224","ADGRB3","adhesion G protein-coupled receptor B3",0,1,1,"down",1
"225","ADGRE1","adhesion G protein-coupled receptor E1",0,2,2,"down",1
"226","ADGRE2","adhesion G protein-coupled receptor E2",1,0,1,"up",1
"227","ADGRE5","adhesion G protein-coupled receptor E5",1,1,2,"down",0.5
"228","ADGRF4","adhesion G protein-coupled receptor F4",2,0,2,"up",1
"229","ADGRF5","adhesion G protein-coupled receptor F5",1,2,3,"down",0.666666666666667
"230","ADGRG1","adhesion G protein-coupled receptor G1",3,1,4,"up",0.75
"231","ADGRG6","adhesion G protein-coupled receptor G6",0,0,0,"down",NA
"232","ADGRL2","adhesion G protein-coupled receptor L2",1,0,1,"up",1
"233","ADGRL3","adhesion G protein-coupled receptor L3",1,0,1,"up",1
"234","ADGRL4","adhesion G protein-coupled receptor L4",0,2,2,"down",1
"235","ADGRV1","adhesion G protein-coupled receptor V1",1,0,1,"up",1
"236","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide",0,1,1,"down",1
"237","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide",1,2,3,"down",0.666666666666667
"238","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide",1,1,2,"down",0.5
"239","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide",1,3,4,"down",0.75
"240","ADHFE1","alcohol dehydrogenase, iron containing, 1",1,2,3,"down",0.666666666666667
"241","ADI1","acireductone dioxygenase 1",2,2,4,"down",0.5
"242","ADIPOQ","adiponectin, C1Q and collagen domain containing",2,4,6,"down",0.666666666666667
"243","ADIPOR1","adiponectin receptor 1",2,0,2,"up",1
"244","ADIPOR2","adiponectin receptor 2",0,2,2,"down",1
"245","ADIRF","adipogenesis regulatory factor",1,0,1,"up",1
"246","ADK","adenosine kinase",0,2,2,"down",1
"247","ADM","adrenomedullin",4,2,6,"up",0.666666666666667
"248","ADM2","adrenomedullin 2",4,1,5,"up",0.8
"249","ADM5","adrenomedullin 5 (putative)",0,2,2,"down",1
"250","ADNP","activity-dependent neuroprotective protein",0,1,1,"down",1
"251","ADNP2","ADNP homeobox 2",0,1,1,"down",1
"252","ADO","2-aminoethanethiol (cysteamine) dioxygenase",1,0,1,"up",1
"253","ADORA1","adenosine A1 receptor",0,1,1,"down",1
"254","ADORA2B","adenosine A2b receptor",2,1,3,"up",0.666666666666667
"255","ADPGK","ADP-dependent glucokinase",1,0,1,"up",1
"256","ADPRH","ADP-ribosylarginine hydrolase",2,0,2,"up",1
"257","ADRA1B","adrenergic receptor, alpha 1b",2,0,2,"up",1
"258","ADRA1D","adrenergic receptor, alpha 1d",1,0,1,"up",1
"259","ADRA2A","adrenergic receptor, alpha 2a",2,0,2,"up",1
"260","ADRA2C","adrenergic receptor, alpha 2c",2,0,2,"up",1
"261","ADRB2","adrenergic receptor, beta 2",1,1,2,"down",0.5
"262","ADRM1","adhesion regulating molecule 1",2,0,2,"up",1
"263","ADSL","adenylosuccinate lyase",2,1,3,"up",0.666666666666667
"264","ADTRP","androgen dependent TFPI regulating protein",3,1,4,"up",0.75
"265","AEBP2","AE binding protein 2",1,0,1,"up",1
"266","AEN","apoptosis enhancing nuclease",1,0,1,"up",1
"267","AFAP1","actin filament associated protein 1",1,0,1,"up",1
"268","AFAP1L1","actin filament associated protein 1-like 1",2,0,2,"up",1
"269","AFAP1L2","actin filament associated protein 1-like 2",1,1,2,"down",0.5
"270","AFDN","afadin, adherens junction formation factor",0,1,1,"down",1
"271","AFDN-DT","AFDN divergent transcript",0,0,0,"down",NA
"272","AFF1","AF4/FMR2 family, member 1",2,1,3,"up",0.666666666666667
"273","AFF3","AF4/FMR2 family, member 3",2,1,3,"up",0.666666666666667
"274","AFF4","AF4/FMR2 family, member 4",2,0,2,"up",1
"275","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene",0,1,1,"down",1
"276","AFG3L2","AFG3-like AAA ATPase 2",1,1,2,"down",0.5
"277","AFP","alpha fetoprotein",1,1,2,"down",0.5
"278","AFTPH","aftiphilin",1,0,1,"up",1
"279","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",1,0,1,"up",1
"280","AGAP2-AS1","AGAP2 antisense RNA 1",0,1,1,"down",1
"281","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",3,0,3,"up",1
"282","AGAP9","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",0,1,1,"down",1
"283","AGBL2","ATP/GTP binding protein-like 2",1,0,1,"up",1
"284","AGER","advanced glycosylation end product-specific receptor",2,1,3,"up",0.666666666666667
"285","AGFG2","ArfGAP with FG repeats 2",0,1,1,"down",1
"286","AGO1","argonaute RISC catalytic subunit 1",0,1,1,"down",1
"287","AGO2","argonaute RISC catalytic subunit 2",1,3,4,"down",0.75
"288","AGO3","argonaute RISC catalytic subunit 3",1,0,1,"up",1
"289","AGO4","argonaute RISC catalytic subunit 4",0,1,1,"down",1
"290","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)",1,0,1,"up",1
"291","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3",1,0,1,"up",1
"292","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)",1,0,1,"up",1
"293","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",0,2,2,"down",1
"294","AGPS","alkylglycerone phosphate synthase",0,1,1,"down",1
"295","AGR2","anterior gradient 2",0,2,2,"down",1
"296","AGR3","anterior gradient 3",0,1,1,"down",1
"297","AGRN","agrin",4,0,4,"up",1
"298","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",4,1,5,"up",0.8
"299","AGTR1","angiotensin II receptor type 1",6,2,8,"up",0.75
"300","AGTR2","angiotensin II receptor, type 2",0,1,1,"down",1
"301","AGTRAP","angiotensin II, type I receptor-associated protein",1,2,3,"down",0.666666666666667
"302","AHCY","S-adenosylhomocysteine hydrolase",2,1,3,"up",0.666666666666667
"303","AHCYL1","S-adenosylhomocysteine hydrolase-like 1",0,1,1,"down",1
"304","AHCYL2","S-adenosylhomocysteine hydrolase-like 2",2,0,2,"up",1
"305","AHDC1","AT hook, DNA binding motif, containing 1",2,0,2,"up",1
"306","AHI1","Abelson helper integration site 1",1,1,2,"down",0.5
"307","AHNAK","AHNAK nucleoprotein (desmoyokin)",1,3,4,"down",0.75
"308","AHNAK2","AHNAK nucleoprotein 2",3,0,3,"up",1
"309","AHR","aryl-hydrocarbon receptor",3,2,5,"up",0.6
"310","AHSA1","AHA1, activator of heat shock protein ATPase 1",0,1,1,"down",1
"311","AHSA2P","activator of HSP90 ATPase homolog 2, pseudogene",1,0,1,"up",1
"312","AIDA","axin interactor, dorsalization associated",0,1,1,"down",1
"313","AIF1L","allograft inflammatory factor 1-like",1,1,2,"down",0.5
"314","AIFM2","apoptosis-inducing factor, mitochondrion-associated 2",0,1,1,"down",1
"315","AIG1","androgen-induced 1",2,0,2,"up",1
"316","AIM2","absent in melanoma 2",1,0,1,"up",1
"317","AIMP1","aminoacyl tRNA synthetase complex-interacting multifunctional protein 1",0,1,1,"down",1
"318","AIMP2","aminoacyl tRNA synthetase complex-interacting multifunctional protein 2",0,1,1,"down",1
"319","AIP","aryl-hydrocarbon receptor-interacting protein",1,0,1,"up",1
"320","AJM1","apical junction component 1",2,0,2,"up",1
"321","AJUBA","ajuba LIM protein",0,3,3,"down",1
"322","AK1","adenylate kinase 1",2,2,4,"down",0.5
"323","AK2","adenylate kinase 2",1,1,2,"down",0.5
"324","AK3","adenylate kinase 3",1,1,2,"down",0.5
"325","AK4","adenylate kinase 4",1,0,1,"up",1
"326","AK5","adenylate kinase 5",0,4,4,"down",1
"327","AK6","adenylate kinase 6",0,1,1,"down",1
"328","AKAP10","A kinase (PRKA) anchor protein 10",1,0,1,"up",1
"329","AKAP11","A kinase (PRKA) anchor protein 11",1,0,1,"up",1
"330","AKAP12","A kinase (PRKA) anchor protein (gravin) 12",4,2,6,"up",0.666666666666667
"331","AKAP13","A kinase (PRKA) anchor protein 13",1,0,1,"up",1
"332","AKAP5","A kinase (PRKA) anchor protein 5",1,1,2,"down",0.5
"333","AKAP6","A kinase (PRKA) anchor protein 6",1,2,3,"down",0.666666666666667
"334","AKAP7","A kinase (PRKA) anchor protein 7",1,0,1,"up",1
"335","AKAP8L","A kinase (PRKA) anchor protein 8-like",1,0,1,"up",1
"336","AKAP9","A kinase (PRKA) anchor protein (yotiao) 9",2,0,2,"up",1
"337","AKIP1","A kinase (PRKA) interacting protein 1",1,1,2,"down",0.5
"338","AKIRIN1","akirin 1",1,0,1,"up",1
"339","AKIRIN2","akirin 2",0,1,1,"down",1
"340","AKR1A1","aldo-keto reductase family 1, member A1 (aldehyde reductase)",2,0,2,"up",1
"341","AKR1B1","aldo-keto reductase family 1 member B",4,2,6,"up",0.666666666666667
"342","AKR1B10","aldo-keto reductase family 1, member B10 (aldose reductase)",1,2,3,"down",0.666666666666667
"343","AKR1B15","aldo-keto reductase family 1 member B15",2,0,2,"up",1
"344","AKR1C1","aldo-keto reductase family 1 member C1",0,2,2,"down",1
"345","AKR1C2","aldo-keto reductase family 1 member C2",0,5,5,"down",1
"346","AKR1C3","aldo-keto reductase family 1 member C3",2,3,5,"down",0.6
